,0
803,7.94
804,4.03
805,6.38
806,4.12
807,5.37
808,5.52
809,5.92
810,6.79
811,6.19
812,4.15
813,10.45
814,4.13
815,4.26
816,6.96
817,6.26
818,5.47
819,6.45
820,4.02
821,5.26
822,4.81
823,7.16
824,4.4
825,4.54
826,4.12
827,4.37
828,5.58
829,5.45
830,5.17
831,5.82
832,4.71
833,10.3
834,4.13
835,4.54
836,5.07
837,5.17
838,4.62
839,7.66
840,4.23
841,7.81
842,5.12
843,6.43
844,6.83
845,4.54
846,4.47
847,7.59
848,7.56
849,5.77
850,4.33
851,6.19
852,8.08
853,6.86
854,4.04
855,5.06
856,5.26
857,6.73
858,4.34
859,4.19
860,4.33
861,5.44
862,4.86
863,7.63
864,4.13
865,4.6
866,6.87
867,5.06
868,4.68
869,5.33
870,4.37
871,4.03
872,7.24
873,4.71
874,4.2
875,4.77
876,5.2
877,4.45
878,4.26
879,5.14
880,6.54
881,4.81
882,5.02
883,6.57
884,5.39
885,5.48
886,5.62
887,10.13
888,6.07
889,6.56
890,6.08
891,4.25
892,4.47
893,5.22
894,4.5
895,5.19
896,4.01
897,4.19
898,4.25
899,6.67
900,5.3
901,6.04
902,4.25
903,6.51
904,4.01
905,6.72
906,8.55
907,4.14
908,4.47
909,4.4
910,8.42
911,8.1
912,6.21
913,7.56
914,4.91
915,8.84
916,8.98
917,4.12
918,4.64
919,4.34
920,5.59
921,4.07
922,4.35
923,4.06
924,7.1
925,4.54
926,9.04
927,4.2
928,4.15
929,6.79
930,4.38
931,4.35
932,4.1
933,5.06
934,9.12
935,4.27
936,4.11
937,5.5
938,5.81
939,4.24
940,4.64
941,5.27
942,7.18
943,4.59
944,7.28
